Id,Gid,Name,Geometry,Category,Description,Style,Property,Coordinates
21023338,X0GBS1i4Usg,北港観光株式会社,"{'Type': 'point', 'Coordinates': '135.53392381350901,34.723563207813399'}",['バス'],,[],"{'Uid': '5b81efae5ba25ed2273efcf9c328935a7336d618', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'ホッコウカンコウカブシキガイシャ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市旭区赤川1-11-8', 'GovernmentCode': '27117', 'AddressMatchingLevel': '6', 'Tel1': '06-6922-9222', 'Genre': [{'Code': '0306004', 'Name': 'バス'}], 'Station': [{'Id': '29807', 'SubId': '2980701', 'Name': '城北公園通', 'Railway': 'JR在来線', 'Exit': '東口', 'ExitId': '17953', 'Distance': '366', 'Time': '4', 'Geometry': {'Type': 'point', 'Coordinates': '135.530914,34.723385'}}, {'Id': '26003', 'SubId': '2600301', 'Name': '千林大宮', 'Railway': 'OsakaMetro谷町線', 'Exit': '3', 'ExitId': '10827', 'Distance': '1552', 'Time': '19', 'Geometry': {'Type': 'point', 'Coordinates': '135.549136,34.723034'}}, {'Id': '26000', 'SubId': '2600001', 'Name': '関目高殿', 'Railway': 'OsakaMetro谷町線', 'Exit': '5', 'ExitId': '10822', 'Distance': '1832', 'Time': '22', 'Geometry': {'Type': 'point', 'Coordinates': '135.545063,34.715124'}}], 'SmartPhoneCouponFlag': 'false'}","135.53392381350901,34.723563207813399"
22730051008,WlzBXcb3vIM,日本交通株式会社　観光バス弁天営業所,"{'Type': 'point', 'Coordinates': '135.457166944444,34.666075555556'}",[],,[],"{'Uid': 'ed0e8e8756080ad1523a2c9dea827b70debbfa91', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ニホンコウツウカンコウバスベンテンエイギヨウシヨ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市港区磯路２丁目２３−２７', 'GovernmentCode': '27107', 'AddressMatchingLevel': '6', 'Tel1': '06-6576-1121', 'Genre': [{'Code': '0306004', 'Name': 'バス'}], 'Station': [{'Id': '26176', 'SubId': '2617603', 'Name': '弁天町', 'Railway': '大阪市営中央線', 'Exit': '3', 'ExitId': '11935', 'Distance': '572', 'Time': '6'}, {'Id': '26176', 'SubId': '2617603', 'Name': '弁天町', 'Railway': '大阪市営中央線', 'Exit': '1', 'ExitId': '11932', 'Distance': '596', 'Time': '7'}, {'Id': '26176', 'SubId': '2617603', 'Name': '弁天町', 'Railway': '大阪市営中央線', 'Exit': '2-B', 'ExitId': '11933', 'Distance': '599', 'Time': '7'}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '7'}","135.457166944444,34.666075555556"
22730051009,0apr9sb3vIM,日交観光バス,"{'Type': 'point', 'Coordinates': '135.457091944444,34.666031111111'}",[],,[],"{'Uid': 'ee917192bafcb8550cf9fd7b8cbcd208df9d2c54', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ニツコウカンコウバス', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市港区磯路２丁目２３−２７', 'GovernmentCode': '27107', 'AddressMatchingLevel': '6', 'Tel1': '06-6576-1121', 'Genre': [{'Code': '0306004', 'Name': 'バス'}], 'Station': [{'Id': '26176', 'SubId': '2617603', 'Name': '弁天町', 'Railway': '大阪市営中央線', 'Exit': '3', 'ExitId': '11935', 'Distance': '548', 'Time': '6'}, {'Id': '26176', 'SubId': '2617603', 'Name': '弁天町', 'Railway': '大阪市営中央線', 'Exit': '1', 'ExitId': '11932', 'Distance': '584', 'Time': '7'}, {'Id': '26176', 'SubId': '2617603', 'Name': '弁天町', 'Railway': '大阪市営中央線', 'Exit': '2-B', 'ExitId': '11933', 'Distance': '590', 'Time': '7'}], 'SmartPhoneCouponFlag': 'false'}","135.457091944444,34.666031111111"
22730093065,Pg2Tor3F2S-,株式会社国際興業大阪　バス事業部,"{'Type': 'point', 'Coordinates': '135.521920833333,34.736141111111'}",[],,[],"{'Uid': '1580ca2c48da80c9dfd86e124d1471da394b9ebd', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'コクサイコウギョウオオサカバスジギョウブ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市東淀川区東淡路５丁目８−３８', 'GovernmentCode': '27114', 'AddressMatchingLevel': '6', 'Tel1': '06-6322-1388', 'Genre': [{'Code': '0306004', 'Name': 'バス'}, {'Code': '0307001', 'Name': '旅行代理店'}], 'Station': [{'Id': '25816', 'SubId': '2581601', 'Name': '淡路', 'Railway': '阪急電鉄', 'Exit': '東出口', 'ExitId': '9816', 'Distance': '716', 'Time': '8'}, {'Id': '25816', 'SubId': '2581601', 'Name': '淡路', 'Railway': '阪急電鉄', 'Exit': '西出口', 'ExitId': '9815', 'Distance': '926', 'Time': '11'}, {'Id': '25973', 'SubId': '2597301', 'Name': '下新庄', 'Railway': '阪急電鉄', 'Exit': '東出口', 'ExitId': '10685', 'Distance': '1474', 'Time': '17'}], 'SmartPhoneCouponFlag': 'false'}","135.521920833333,34.736141111111"
22730112834,X0GBS1i4Usg,北港観光バス株式会社,"{'Type': 'point', 'Coordinates': '135.533845000000,34.723551111111'}",[],,[],"{'Uid': 'b30eeeacdbe11ef53a74e73c1c6b530c7bc3f713', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ホッコウカンコウバス', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市旭区赤川１丁目１１−８', 'GovernmentCode': '27117', 'AddressMatchingLevel': '6', 'Tel1': '06-6922-9222', 'Genre': [{'Code': '0306004', 'Name': 'バス'}, {'Code': '0307001', 'Name': '旅行代理店'}], 'Station': [{'Id': '26003', 'SubId': '2600301', 'Name': '千林大宮', 'Railway': '大阪市営谷町線', 'Exit': '3', 'ExitId': '10827', 'Distance': '1561', 'Time': '19'}, {'Id': '26003', 'SubId': '2600301', 'Name': '千林大宮', 'Railway': '大阪市営谷町線', 'Exit': '4', 'ExitId': '10828', 'Distance': '1565', 'Time': '19'}, {'Id': '26003', 'SubId': '2600301', 'Name': '千林大宮', 'Railway': '大阪市営谷町線', 'Exit': '1', 'ExitId': '10825', 'Distance': '1596', 'Time': '19'}], 'SmartPhoneCouponFlag': 'false'}","135.533845000000,34.723551111111"
22730114290,vCIt1oD18jc,近畿通運株式会社　観光部,"{'Type': 'point', 'Coordinates': '135.551326666667,34.729342500000'}",[],,[],"{'Uid': '35f2bb9d16bd04d697274512c480cd0e5512aa2b', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'キンキツウウンカンコウブ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市旭区大宮４丁目２４−１２', 'GovernmentCode': '27117', 'AddressMatchingLevel': '6', 'Tel1': '06-6956-3011', 'Genre': [{'Code': '0306004', 'Name': 'バス'}], 'Station': [{'Id': '26012', 'SubId': '2601201', 'Name': '太子橋今市', 'Railway': '大阪市営今里筋線/大阪市営谷町線', 'Exit': '6', 'ExitId': '10848', 'Distance': '327', 'Time': '3'}, {'Id': '26012', 'SubId': '2601201', 'Name': '太子橋今市', 'Railway': '大阪市営今里筋線/大阪市営谷町線', 'Exit': '5', 'ExitId': '10853', 'Distance': '332', 'Time': '3'}, {'Id': '26012', 'SubId': '2601201', 'Name': '太子橋今市', 'Railway': '大阪市営今里筋線/大阪市営谷町線', 'Exit': '2', 'ExitId': '10850', 'Distance': '555', 'Time': '6'}], 'SmartPhoneCouponFlag': 'false'}","135.551326666667,34.729342500000"
22730114296,SRRIyYD18jc,都島タクシー無線配車センター,"{'Type': 'point', 'Coordinates': '135.551326666667,34.729342500000'}",[],,[],"{'Uid': '6a31e92a5cc7f15efc105e5810c4dfdb6884133d', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ミヤコジマタクシームセンハイシャセンター', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市旭区大宮４丁目２４−１２', 'GovernmentCode': '27117', 'AddressMatchingLevel': '6', 'Tel1': '06-6956-8811', 'Genre': [{'Code': '0306001', 'Name': 'タクシー'}, {'Code': '0306004', 'Name': 'バス'}], 'Station': [{'Id': '26012', 'SubId': '2601201', 'Name': '太子橋今市', 'Railway': '大阪市営今里筋線/大阪市営谷町線', 'Exit': '6', 'ExitId': '10848', 'Distance': '327', 'Time': '3'}, {'Id': '26012', 'SubId': '2601201', 'Name': '太子橋今市', 'Railway': '大阪市営今里筋線/大阪市営谷町線', 'Exit': '5', 'ExitId': '10853', 'Distance': '332', 'Time': '3'}, {'Id': '26012', 'SubId': '2601201', 'Name': '太子橋今市', 'Railway': '大阪市営今里筋線/大阪市営谷町線', 'Exit': '2', 'ExitId': '10850', 'Distance': '555', 'Time': '6'}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '3'}","135.551326666667,34.729342500000"
22730130674,oIkUXJbhizQ,大毎観光バスセンター,"{'Type': 'point', 'Coordinates': '135.515629444444,34.623498055556'}",[],,[],"{'Uid': 'dd6240f93727ebc9f38b463f2ceed559053a07f6', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ダイマイカンコウバスセンター', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市阿倍野区昭和町５丁目５−２８', 'GovernmentCode': '27119', 'AddressMatchingLevel': '6', 'Tel1': '06-6621-0091', 'Genre': [{'Code': '0306004', 'Name': 'バス'}, {'Code': '0307001', 'Name': '旅行代理店'}], 'Station': [{'Id': '26106', 'SubId': '2610601', 'Name': '西田辺', 'Railway': '大阪市営御堂筋線', 'Exit': '1', 'ExitId': '11540', 'Distance': '235', 'Time': '2'}, {'Id': '26106', 'SubId': '2610601', 'Name': '西田辺', 'Railway': '大阪市営御堂筋線', 'Exit': '3', 'ExitId': '11542', 'Distance': '273', 'Time': '3'}, {'Id': '26106', 'SubId': '2610601', 'Name': '西田辺', 'Railway': '大阪市営御堂筋線', 'Exit': '2', 'ExitId': '11541', 'Distance': '302', 'Time': '3'}], 'SmartPhoneCouponFlag': 'false'}","135.515629444444,34.623498055556"
22730155686,UfO_zoE-yCU,東豊観光株式会社　本社営業所,"{'Type': 'point', 'Coordinates': '135.482523888889,34.636715833333'}",[],,[],"{'Uid': '035d2c6448712860583b367629efd9f6f96c33bc', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'トウホウカンコウホンシヤエイギヨウシヨ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市西成区南津守２丁目１−２０', 'GovernmentCode': '27122', 'AddressMatchingLevel': '6', 'Tel1': '06-6659-4612', 'Genre': [{'Code': '0306004', 'Name': 'バス'}, {'Code': '0307001', 'Name': '旅行代理店'}], 'Station': [{'Id': '26107', 'SubId': '2610701', 'Name': '西天下茶屋', 'Railway': '南海電気鉄道', 'Exit': '出口', 'ExitId': '11544', 'Distance': '839', 'Time': '10'}, {'Id': '26049', 'SubId': '2604901', 'Name': '津守', 'Railway': '南海電気鉄道', 'Exit': '出口', 'ExitId': '10969', 'Distance': '1186', 'Time': '14'}, {'Id': '25904', 'SubId': '2590401', 'Name': '岸里', 'Railway': '大阪市営四つ橋線', 'Exit': '1', 'ExitId': '10292', 'Distance': '1282', 'Time': '16'}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '2'}","135.482523888889,34.636715833333"
22730166607,Oj7GmMGkc26,株式会社ジョイックス,"{'Type': 'point', 'Coordinates': '135.500547777778,34.728857777778'}",[],,[],"{'Uid': 'aa2f5133f41a54b3404800cc00a84943056e78fa', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ジョイックス', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市淀川区西中島５丁目８−３', 'GovernmentCode': '27123', 'AddressMatchingLevel': '6', 'Tel1': '06-6390-3400', 'Genre': [{'Code': '0306004', 'Name': 'バス'}, {'Code': '0307001', 'Name': '旅行代理店'}], 'Station': [{'Id': '26207', 'SubId': '2620701', 'Name': '南方(大阪府)', 'Railway': '阪急電鉄', 'Exit': '出口1', 'ExitId': '12026', 'Distance': '573', 'Time': '6'}, {'Id': '25978', 'SubId': '2597802', 'Name': '新大阪', 'Railway': 'JR在来線/JR新幹線', 'Exit': '西口', 'ExitId': '10700', 'Distance': '653', 'Time': '7'}, {'Id': '26108', 'SubId': '2610801', 'Name': '西中島南方', 'Railway': '大阪市営御堂筋線', 'Exit': '2', 'ExitId': '11546', 'Distance': '656', 'Time': '7'}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '2'}","135.500547777778,34.728857777778"
