都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,管理NO,区,避難所No,避難所名称,所在地,電話1,電話1備考,電話2,電話2備考,避難所運営協力自主防災組織,開放区,敷地面積_m2,保有教室等の総面積_m2,応急救護所,運動場面積_m2,運動場面積_備考,体育館面積_m2,格技場面積_m2,収容可能人員（屋内）,緯度,経度
221390,1,静岡県,浜松市,1,中区,中1,浜松中部学園,浜松市中区松城町108-1,(053)454-6406,,,,高町、亀山、利町、紺屋町、松城町、元城町、神明町、連尺町、肴町、田町、池町、尾張町、元目町、北田町、鍛冶町、千歳町、伝馬町、大工町、常盤町（一部）,体育館、格技場,34782,1734,有,7377,,1472,203,1136,34.713549,137.723111
221390,2,静岡県,浜松市,2,中区,中2,東小学校,浜松市中区中央二丁目2-1,(053)452-3137,,,,野口町（一部）、八幡町、常盤町（一部）、早馬町、東田町、馬込町、松江町、新町、板屋町,体育館、図書室,15963,2042,有,8920,,1110,0,1051,34.708637,137.740333
221390,3,静岡県,浜松市,3,中区,中3,八幡中学校,浜松市中区野口町1533,(053)461-1200,,,,野口町（一部）、新津町（遠鉄線路東二～五部）,体育館、南校舎、北校舎、青雲館、相談室,17179,2079,無,9880,,1138,580,1266,34.719044,137.741402
221390,4,静岡県,浜松市,4,中区,中4,船越小学校,浜松市中区船越町29-1,(053)461-1849,,,,船越町、茄子町（馬込川以西）,体育館、特別教室（一部）,9816,1337,無,5152,,621,0,653,34.718097,137.743911
221390,5,静岡県,浜松市,5,中区,中5,西小学校,浜松市中区鴨江町70-1,(053)452-1171,,,,鴨江東町、鴨江西町（一部）、鴨江南町、鴨江北町（一部）、栄町、中山町、三組町,体育館、南校舎（特別教室）、北校舎2階,10796,1623,有,5871,,774,0,799,34.706279,137.72122
221390,6,静岡県,浜松市,6,中区,中6,西部中学校,浜松市中区鴨江二丁目17-1,(053)454-4496,,,,鴨江西町（一部）,体育館、武徳館、地域活動室,25878,2262,無,11316,,1272,375,1303,34.702852,137.715423
221390,7,静岡県,浜松市,7,中区,中7,鴨江小学校,浜松市中区西伊場町4-1,(053)452-0925,,,,鴨江西町（一部）、鴨江北町（一部）、西伊場町、西伊場町西、南伊場町（連絡員）,体育館、北校舎（普通教室）、さわやかルーム（南棟）,17302,1692,無,9026,,775,0,822,34.703088,137.708973
221390,8,静岡県,浜松市,8,中区,中8,県居小学校,浜松市中区東伊場二丁目5-1,(053)452-7505,,,,元魚町、旅籠町、平田町、塩町、成子町、菅原町東、西菅原町、東伊場、森田町,体育館、北校舎2・3階（普通教室）、図工室,14700,1507,有,7120,,775,0,761,34.698552,137.721457
221390,9,静岡県,浜松市,9,中区,中9,追分小学校,浜松市中区布橋一丁目9-1,(053)472-1281,,,,名残、布橋南（一部）、追分、東上池川、西上池川,体育館、南校舎、北校舎プレイルーム,14980,1600,有,4956,,642,0,747,34.720515,137.719913
221390,10,静岡県,浜松市,10,中区,中10,広沢小学校,浜松市中区広沢二丁目51-1,(053)454-8335,,(053)454-8336,,広沢、山手町（一部）,体育館、特別教室（一部）,14676,2384,有,4815,,1003,0,1129,34.716606,137.713263
221390,11,静岡県,浜松市,11,中区,中11,北部中学校,浜松市中区文丘町28-1,(053)471-4228,,,,布橋南（一部）、布橋北、文丘町、和地山（三丁目）、富塚町東（第一部）,体育館、武道場（赫武館）、北館、西館,17736,2474,無,10239,,864,597,1312,34.727034,137.71451
221390,12,静岡県,浜松市,12,中区,中12,蜆塚中学校,浜松市中区蜆塚二丁目15-1,(053)453-0171,,,,蜆塚一区～三区、山手町（一部）,体育館、特別活動室、特別教室（一部）,20722,2902,無,12005,,934,0,1279,34.714058,137.708573
221390,13,静岡県,浜松市,13,中区,中13,（旧）高砂小学校,浜松市中区寺島町450,-,,,,砂山町第一～第六,体育館,10030,0,無,4834,,778,0,259,34.700887,137.740545
221390,14,静岡県,浜松市,14,中区,中14,竜禅寺小学校,浜松市中区龍禅寺町844,(053)452-0683,,,,寺島町、北寺島東町、北寺島西町、北寺島本町、駅南団地、サンコーポラス浜松,体育館、南校舎（普通教室）、特別教室（一部）,13002,1603,有,4995,,774,0,792,34.698276,137.743167
221390,15,静岡県,浜松市,15,中区,中15,南部中学校,浜松市中区龍禅寺町706,(053)454-4591,,,,龍禅寺町、浅田町東（新川以東）,体育館、北校舎（普通教室）、図書室,17223,3320,無,8605,,1659,0,1660,34.694346,137.738349
221390,16,静岡県,浜松市,16,中区,中16,双葉小学校,浜松市中区海老塚二丁目5-1,(053)452-4212,,,,砂山町第一～第六、海老塚,体育館、特別教室（一部）,10030,3545,無,4834,,778,0,1441,34.699887,137.732115
221390,17,静岡県,浜松市,17,中区,中17,浅間小学校,浜松市中区西浅田二丁目12-1,(053)441-1706,,,,浅田町東（新川以西）、西浅田、南浅田、上浅田一・二丁目,体育館、北校舎（普通教室）、南校舎（普通教室）,14144,1932,有,7362,,1005,0,979,34.692077,137.726709
221390,18,静岡県,浜松市,18,中区,中18,江西中学校,浜松市中区神田町123,(053)441-1010,,,,春日町、神田町、南栄、瓜内町（馬込川以西）,体育館、格技室、校舎（一部普通教室）,21078,1904,無,12873,,1040,455,1133,34.688528,137.726674
221390,19,静岡県,浜松市,19,中区,中19,（旧）北小学校,浜松市中区山下町192,-,,,,山下町、中沢町、元浜町、下池川町,体育館、特別教室（一部）,11997,0,有,6864,,967,0,322,34.718435,137.730359
221390,20,静岡県,浜松市,20,中区,中20,相生小学校,浜松市中区向宿三丁目8-1,(053)461-0830,,,,向宿、名塚町、領家町、中島町本町、中島町諏訪（一部）、中島町市場（一部）,体育館、多目的室、特別教室（一部）,18549,2160,有,9734,,1005,0,1055,34.701552,137.752371
