Id,Gid,Name,Geometry,Category,Description,Style,Property,Coordinates
11009665,STYOiBunA9A,宮方クリニック,"{'Type': 'point', 'Coordinates': '139.835450777859,35.6902203798569'}",['内科'],,[],"{'Uid': 'c7bbfdf65a95bb4c722fc864603bff6784be2924', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'ミヤカタクリニック', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '東京都江東区大島6-9-11 宮方ビル', 'GovernmentCode': '13108', 'AddressMatchingLevel': '6', 'Tel1': '03-3685-4100', 'Genre': [{'Code': '0401002', 'Name': '内科'}], 'Station': [{'Id': '22561', 'SubId': '2256101', 'Name': '大島(東京都)', 'Railway': '都営新宿線', 'Exit': 'A6', 'ExitId': '3410', 'Distance': '77', 'Time': '0', 'Geometry': {'Type': 'point', 'Coordinates': '139.835993,35.689997'}}, {'Id': '22866', 'SubId': '2286601', 'Name': '西大島', 'Railway': '都営新宿線', 'Exit': 'A3', 'ExitId': '4821', 'Distance': '832', 'Time': '10', 'Geometry': {'Type': 'point', 'Coordinates': '139.826888,35.689483'}}, {'Id': '22927', 'SubId': '2292701', 'Name': '東大島', 'Railway': '都営新宿線', 'Exit': '大島口', 'ExitId': '5016', 'Distance': '1017', 'Time': '12', 'Geometry': {'Type': 'point', 'Coordinates': '139.845633,35.690334'}}], 'SmartPhoneCouponFlag': 'false'}","139.835450777859,35.6902203798569"
11013225,b_C3jIXv8Qs,みやざき眼科,"{'Type': 'point', 'Coordinates': '139.8198566,35.6723814'}",['眼科'],,[],"{'Uid': '3105bd11211684d5fa5d3533105d05a9326ebdfd', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'ミヤザキガンカ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '東京都江東区南砂2-6-3 サンライズ東陽ビル2F', 'GovernmentCode': '13108', 'AddressMatchingLevel': '6', 'Tel1': '03-5665-1230', 'Genre': [{'Code': '0401007', 'Name': '眼科'}], 'Station': [{'Id': '22830', 'SubId': '2283001', 'Name': '東陽町', 'Railway': '東京メトロ東西線', 'Exit': '3', 'ExitId': '4707', 'Distance': '380', 'Time': '4', 'Geometry': {'Type': 'point', 'Coordinates': '139.819091,35.669551'}}, {'Id': '22994', 'SubId': '2299401', 'Name': '南砂町', 'Railway': '東京メトロ東西線', 'Exit': '1', 'ExitId': '5252', 'Distance': '1159', 'Time': '14', 'Geometry': {'Type': 'point', 'Coordinates': '139.829051,35.669459'}}, {'Id': '22638', 'SubId': '2263801', 'Name': '木場(東京都)', 'Railway': '東京メトロ東西線', 'Exit': '1', 'ExitId': '3790', 'Distance': '1315', 'Time': '16', 'Geometry': {'Type': 'point', 'Coordinates': '139.808308,35.669494'}}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '5'}","139.8198566,35.6723814"
11013226,esj6uuLIgnA,森崎医院,"{'Type': 'point', 'Coordinates': '139.81656342745,35.67111427087'}",['内科'],,[],"{'Uid': 'e30dc1f5edcf1d7e25752ebb76b9fec1163059c4', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'モリサキイイン', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '東京都江東区東陽4-10-2 AYG 1階、2階', 'GovernmentCode': '13108', 'AddressMatchingLevel': '6', 'Tel1': '03-3645-1493', 'Genre': [{'Code': '0401002', 'Name': '内科'}], 'Station': [{'Id': '22830', 'SubId': '2283001', 'Name': '東陽町', 'Railway': '東京メトロ東西線', 'Exit': '1', 'ExitId': '4705', 'Distance': '177', 'Time': '2', 'Geometry': {'Type': 'point', 'Coordinates': '139.816719,35.669775'}}, {'Id': '22638', 'SubId': '2263801', 'Name': '木場(東京都)', 'Railway': '東京メトロ東西線', 'Exit': '1', 'ExitId': '3790', 'Distance': '934', 'Time': '11', 'Geometry': {'Type': 'point', 'Coordinates': '139.808308,35.669494'}}, {'Id': '22994', 'SubId': '2299401', 'Name': '南砂町', 'Railway': '東京メトロ東西線', 'Exit': '1', 'ExitId': '5252', 'Distance': '1371', 'Time': '17', 'Geometry': {'Type': 'point', 'Coordinates': '139.829051,35.669459'}}], 'SmartPhoneCouponFlag': 'false'}","139.81656342745,35.67111427087"
11013417,ACTj83QoTEw,浅川医院,"{'Type': 'point', 'Coordinates': '139.807226657867,35.6681584479967'}",['内科'],,[],"{'Uid': 'fa27a43c6ff3293ac89d5706007a7cc2e04af8e3', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'アサカワイイン', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '東京都江東区木場6-9-8', 'GovernmentCode': '13108', 'AddressMatchingLevel': '6', 'Tel1': '03-3649-7061', 'Genre': [{'Code': '0401002', 'Name': '内科'}], 'Station': [{'Id': '22638', 'SubId': '2263801', 'Name': '木場(東京都)', 'Railway': '東京メトロ東西線', 'Exit': '2', 'ExitId': '3791', 'Distance': '198', 'Time': '2', 'Geometry': {'Type': 'point', 'Coordinates': '139.807429,35.669197'}}, {'Id': '22830', 'SubId': '2283001', 'Name': '東陽町', 'Railway': '東京メトロ東西線', 'Exit': '2', 'ExitId': '4706', 'Distance': '995', 'Time': '12', 'Geometry': {'Type': 'point', 'Coordinates': '139.816770,35.669434'}}, {'Id': '23024', 'SubId': '2302402', 'Name': '門前仲町', 'Railway': '東京メトロ東西線', 'Exit': '2', 'ExitId': '5320', 'Distance': '1110', 'Time': '13', 'Geometry': {'Type': 'point', 'Coordinates': '139.797168,35.671233'}}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '3'}","139.807226657867,35.6681584479967"
11013417,ACTj83QoTEw,浅川医院,"{'Type': 'point', 'Coordinates': '139.807226657867,35.6681584479967'}",['内科'],,[],"{'Uid': 'fa27a43c6ff3293ac89d5706007a7cc2e04af8e3', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'アサカワイイン', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '東京都江東区木場6-9-8', 'GovernmentCode': '13108', 'AddressMatchingLevel': '6', 'Tel1': '03-3649-7061', 'Genre': [{'Code': '0401002', 'Name': '内科'}], 'Station': [{'Id': '22638', 'SubId': '2263801', 'Name': '木場(東京都)', 'Railway': '東京メトロ東西線', 'Exit': '2', 'ExitId': '3791', 'Distance': '198', 'Time': '2', 'Geometry': {'Type': 'point', 'Coordinates': '139.807429,35.669197'}}, {'Id': '22830', 'SubId': '2283001', 'Name': '東陽町', 'Railway': '東京メトロ東西線', 'Exit': '2', 'ExitId': '4706', 'Distance': '995', 'Time': '12', 'Geometry': {'Type': 'point', 'Coordinates': '139.816770,35.669434'}}, {'Id': '23024', 'SubId': '2302402', 'Name': '門前仲町', 'Railway': '東京メトロ東西線', 'Exit': '2', 'ExitId': '5320', 'Distance': '1110', 'Time': '13', 'Geometry': {'Type': 'point', 'Coordinates': '139.797168,35.671233'}}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '3'}","139.807226657867,35.6681584479967"
11017353,eV4iQGskrPE,ふるたに医院,"{'Type': 'point', 'Coordinates': '139.798386767509,35.6819065072975'}",['内科'],,[],"{'Uid': 'dc6aeb448800eeb29057e444119159e56c763b45', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'フルタニイイン', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '東京都江東区清澄3-4-11', 'GovernmentCode': '13108', 'AddressMatchingLevel': '6', 'Tel1': '03-3820-8207', 'Genre': [{'Code': '0401002', 'Name': '内科'}], 'Station': [{'Id': '29338', 'SubId': '2933801', 'Name': '清澄白河', 'Railway': '都営大江戸線/東京メトロ半蔵門線', 'Exit': 'A3', 'ExitId': '16666', 'Distance': '103', 'Time': '1', 'Geometry': {'Type': 'point', 'Coordinates': '139.799037,35.681635'}}, {'Id': '29338', 'SubId': '2933802', 'Name': '清澄白河', 'Railway': '東京メトロ半蔵門線', 'Exit': 'B2', 'ExitId': '16663', 'Distance': '339', 'Time': '4', 'Geometry': {'Type': 'point', 'Coordinates': '139.802018,35.682132'}}, {'Id': '23023', 'SubId': '2302301', 'Name': '森下(東京都)', 'Railway': '都営新宿線/都営大江戸線', 'Exit': 'A7', 'ExitId': '5311', 'Distance': '633', 'Time': '7', 'Geometry': {'Type': 'point', 'Coordinates': '139.798159,35.687167'}}], 'SmartPhoneCouponFlag': 'false'}","139.798386767509,35.6819065072975"
11017421,tgB5BKMY8ME,よしだ内科クリニック,"{'Type': 'point', 'Coordinates': '139.815253838897,35.6876160574232'}",['内科'],,[],"{'Uid': '3589729fbeeb4fe897caf82a69b462b891d92c43', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'ヨシダナイカクリニック', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '東京都江東区住吉2-5-17', 'GovernmentCode': '13108', 'AddressMatchingLevel': '6', 'Tel1': '03-3846-1755', 'Genre': [{'Code': '0401002', 'Name': '内科'}], 'Station': [{'Id': '22763', 'SubId': '2276301', 'Name': '住吉(東京都)', 'Railway': '都営新宿線/東京メトロ半蔵門線', 'Exit': 'B1', 'ExitId': '4403', 'Distance': '90', 'Time': '1', 'Geometry': {'Type': 'point', 'Coordinates': '139.815696,35.687308'}}, {'Id': '22624', 'SubId': '2262401', 'Name': '菊川(東京都)', 'Railway': '都営新宿線', 'Exit': 'A4', 'ExitId': '3762', 'Distance': '960', 'Time': '12', 'Geometry': {'Type': 'point', 'Coordinates': '139.806383,35.688216'}}, {'Id': '22640', 'SubId': '2264002', 'Name': '錦糸町', 'Railway': '東京メトロ半蔵門線', 'Exit': '2', 'ExitId': '3799', 'Distance': '1050', 'Time': '13', 'Geometry': {'Type': 'point', 'Coordinates': '139.815212,35.696097'}}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '4'}","139.815253838897,35.6876160574232"
11018717,T7cER6HeWu-,おくわき歯科医院,"{'Type': 'point', 'Coordinates': '139.804654419422,35.6691553558901'}",['歯科'],,[],"{'Uid': '8bae642d6f1875b78f3ea4d6217fffcde6f65366', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'オクワキシカイイン', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '東京都江東区木場2-21-2 木場スカイハイム2F', 'GovernmentCode': '13108', 'AddressMatchingLevel': '6', 'Tel1': '03-3642-5965', 'Genre': [{'Code': '0401001', 'Name': '歯科'}], 'Station': [{'Id': '22638', 'SubId': '2263801', 'Name': '木場(東京都)', 'Railway': '東京メトロ東西線', 'Exit': '4', 'ExitId': '3793', 'Distance': '67', 'Time': '0', 'Geometry': {'Type': 'point', 'Coordinates': '139.805154,35.669346'}}, {'Id': '23024', 'SubId': '2302402', 'Name': '門前仲町', 'Railway': '東京メトロ東西線', 'Exit': '2', 'ExitId': '5320', 'Distance': '769', 'Time': '9', 'Geometry': {'Type': 'point', 'Coordinates': '139.797168,35.671233'}}, {'Id': '23024', 'SubId': '2302401', 'Name': '門前仲町', 'Railway': '都営大江戸線/東京メトロ東西線', 'Exit': '4', 'ExitId': '5322', 'Distance': '1030', 'Time': '12', 'Geometry': {'Type': 'point', 'Coordinates': '139.794570,35.672272'}}], 'SmartPhoneCouponFlag': 'false'}","139.804654419422,35.6691553558901"
11018745,AwMaQ87aNeg,鈴木クリニック,"{'Type': 'point', 'Coordinates': '139.806935638189,35.6696238438241'}",['内科'],,[],"{'Uid': '235f43b8faeaa026e60da049aa7ff914f24547d8', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'スズキクリニック', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '東京都江東区木場5-4-11 SCCビル 3F', 'GovernmentCode': '13108', 'AddressMatchingLevel': '6', 'Tel1': '03-3820-5005', 'Genre': [{'Code': '0401002', 'Name': '内科'}], 'Station': [{'Id': '22638', 'SubId': '2263801', 'Name': '木場(東京都)', 'Railway': '東京メトロ東西線', 'Exit': '2', 'ExitId': '3791', 'Distance': '92', 'Time': '1', 'Geometry': {'Type': 'point', 'Coordinates': '139.807429,35.669197'}}, {'Id': '22830', 'SubId': '2283001', 'Name': '東陽町', 'Railway': '東京メトロ東西線', 'Exit': '1', 'ExitId': '4705', 'Distance': '928', 'Time': '11', 'Geometry': {'Type': 'point', 'Coordinates': '139.816719,35.669775'}}, {'Id': '23024', 'SubId': '2302402', 'Name': '門前仲町', 'Railway': '東京メトロ東西線', 'Exit': '1', 'ExitId': '5319', 'Distance': '942', 'Time': '11', 'Geometry': {'Type': 'point', 'Coordinates': '139.797472,35.671442'}}], 'SmartPhoneCouponFlag': 'false'}","139.806935638189,35.6696238438241"
11021231,o4u4GVFg332,城田小児科医院,"{'Type': 'point', 'Coordinates': '139.794059693813,35.6731041872823'}",['小児科'],,[],"{'Uid': '1a5517e04cd1a3fa9a687c7258f006a98af1227d', 'CassetteId': '6323cd03fade0af478c41aeef6dc261b', 'Yomi': 'シロタショウニカイイン', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '東京都江東区門前仲町1-6-9', 'GovernmentCode': '13108', 'AddressMatchingLevel': '6', 'Tel1': '03-3641-4056', 'Genre': [{'Code': '0401003', 'Name': '小児科'}], 'Station': [{'Id': '23024', 'SubId': '2302401', 'Name': '門前仲町', 'Railway': '都営大江戸線/東京メトロ東西線', 'Exit': '3', 'ExitId': '5321', 'Distance': '106', 'Time': '1', 'Geometry': {'Type': 'point', 'Coordinates': '139.794678,35.672663'}}, {'Id': '23024', 'SubId': '2302402', 'Name': '門前仲町', 'Railway': '東京メトロ東西線', 'Exit': '1', 'ExitId': '5319', 'Distance': '397', 'Time': '4', 'Geometry': {'Type': 'point', 'Coordinates': '139.797472,35.671442'}}, {'Id': '22539', 'SubId': '2253901', 'Name': '越中島', 'Railway': 'JR在来線', 'Exit': '1', 'ExitId': '3336', 'Distance': '693', 'Time': '8', 'Geometry': {'Type': 'point', 'Coordinates': '139.791848,35.668739'}}], 'SmartPhoneCouponFlag': 'false'}","139.794059693813,35.6731041872823"
